sample,file,oldfile_version,newfile_version,patch_size
central_hr,bitarray.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
central_hr,buf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,646
central_hr,cbprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,149
central_hr,cbprintf_complete.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
central_hr,cbprintf_packaged.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3072
central_hr,configs.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2601
central_hr,conn.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,6462
central_hr,crc16_sw.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,340
central_hr,crt0.S.obj,zephyr_v2.7.2,zephyr_v3.2.0,291
central_hr,crypto.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,564
central_hr,device.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,962
central_hr,dev_handles.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,193
central_hr,ecc.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,820
central_hr,fatal.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,667
central_hr,fprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,215
central_hr,gatt.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,11691
central_hr,gmtime.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,324
central_hr,h4.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3156
central_hr,hci_core.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,9844
central_hr,heap-validate.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,824
central_hr,heap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1336
central_hr,hex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,139
central_hr,hpet.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,650
central_hr,id.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3149
central_hr,init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,943
central_hr,intc_ioapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,503
central_hr,intc_loapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,425
central_hr,keys.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,299
central_hr,kheap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,192
central_hr,l2cap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2213
central_hr,log_backend_uart.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,854
central_hr,log_core.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3556
central_hr,log_mgmt.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,680
central_hr,log_msg.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1130
central_hr,log_output.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2035
central_hr,mailbox.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,217
central_hr,main.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,491
central_hr,malloc.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,297
central_hr,mem_slab.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,701
central_hr,mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1258
central_hr,mpsc_pbuf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1298
central_hr,msg_q.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,116
central_hr,multiboot.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,137
central_hr,mutex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,346
central_hr,offsets.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,323
central_hr,onoff.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,204
central_hr,poll.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,382
central_hr,prep_c.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,338
central_hr,printk.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
central_hr,qsort.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,750
central_hr,queue.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
central_hr,rb.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,505
central_hr,scan.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,940
central_hr,sched.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2339
central_hr,smp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,8090
central_hr,sprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,237
central_hr,stack.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,144
central_hr,strncasecmp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,85
central_hr,strtol.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,375
central_hr,strtoul.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,366
central_hr,sys_clock_init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,202
central_hr,thread.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1212
central_hr,timeout.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,642
central_hr,timer.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,555
central_hr,timeutil.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1452
central_hr,uart_console.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,376
central_hr,uart_ns16550.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1252
central_hr,uuid.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,147
central_hr,version.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,88
central_hr,work.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1074
central_hr,x86_mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1650
handsfree,adv.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2103
handsfree,at.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,274
handsfree,atoi.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,195
handsfree,att.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,7139
handsfree,banner.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,86
handsfree,bitarray.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
handsfree,br.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,482
handsfree,buf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,621
